curve_id,family,normalized_rmse,noise_fraction,extrapolated_to_160,params
NU00017,weibull,0.0232657057614978,0.0221668845762759,True,"[60.87508280758047, 0.010000000009225036, 0.18180341814955517]"
NU00019,weibull,0.0264402373068036,0.025327024799722,True,"[43.846048861528445, 0.12983181025982093, 0.14212004838521494]"
NU00020,weibull,0.022288376834542,0.0216253357609095,True,"[41.22641531389489, 0.01000000000008411, 0.11605295542112769]"
NU00022,weibull,0.0046632274664701,0.0038398512558983,True,"[68.00803487405891, 0.010000000038950019, 0.14010261128165144]"
NU00024,weibull,0.0149823724789931,0.0119969630380035,True,"[41.211954245468206, 0.010000000000000241, 0.2173927340425462]"
NU00025,weibull,0.0058603549892514,0.0048496010203636,True,"[94.98181401335565, 0.010000000011585818, 0.13516369231240175]"
NU00026,weibull,0.0184348469568208,0.0172339412587005,True,"[99.58744931972868, 3.587004079195233, 0.6276243139521598]"
NU00027,weibull,0.0045231341774255,0.0037546003203084,True,"[45.53732949467068, 0.01000000013965945, 0.15779342764125787]"
NU00029,weibull,0.0402023520744326,0.0393210273416661,True,"[75.04515628808382, 2.318637025170152, 0.5657978528825812]"
NU00030,weibull,0.0305250509767362,0.0293975790267018,True,"[66.35072757664024, 0.8355110982053814, 0.48402596434091]"
NU00031,weibull,0.012853727026648,0.0127464639477709,True,"[63.832677370033245, 0.9622011069239033, 0.40513809206141416]"
NU00032,weibull,0.0164643657885029,0.0166398505285677,True,"[57.19043815577959, 2.673959560435747, 0.5183225203391251]"
NU00033,weibull,0.0309439403742311,0.0304274122491231,True,"[46.88258204715282, 0.8794841008096441, 0.45023674332184405]"
NU00034,weibull,0.0086118226609669,0.0084016581817245,True,"[43.9731281807095, 0.010000000000000002, 0.36277667242697986]"
NU00035,weibull,0.0225764846245301,0.0226145102866338,True,"[29.650060286507784, 0.010000000000496296, 0.23237215235529662]"
NU00036,weibull,0.0259934132716694,0.0253287217999452,True,"[36.842109279077455, 0.7539075308915593, 0.2842847818843834]"
NU00037,weibull,0.0151082988070228,0.0151069958773004,True,"[72.60626151609587, 0.010000000000013639, 0.3504575791508426]"
NU00056,weibull,0.0094441361641109,0.008595299547032,True,"[53.179785979745766, 0.010000000000000002, 0.11652481074247989]"
NU00057,weibull,0.0035594103379845,0.0032290459678479,True,"[66.57953666653732, 0.8704194799667434, 0.16683491801998798]"
NU00058,weibull,0.0058892762314087,0.0052550676160791,True,"[81.13760474734306, 0.010000000034631713, 0.10538923054206734]"
NU00059,weibull,0.0161113761758743,0.0143999203209456,True,"[94.43108843219625, 0.010000000001605659, 0.13376728972445182]"
NU00060,weibull,0.0144846595863507,0.0129467457736343,True,"[64.21841247162595, 0.010000000000002486, 0.1449165610919353]"
NU00061,weibull,0.0034474865154262,0.0031173086204997,True,"[63.47967111249424, 0.9965095046537312, 0.18714493165255178]"
NU00062,weibull,0.0116748522952715,0.0102897582815721,True,"[79.87647319753542, 0.010000000020801942, 0.13026286022889366]"
NU00063,weibull,0.0036326490732298,0.0032092407018093,True,"[86.4797673288527, 0.010000000000792354, 0.11225953851626884]"
